doesThisCountryExist,30-08-2020 10:54:24,Thread-6
printMedianSalaryInWworld,30-08-2020 10:54:24,Thread-3
getNumberOfPersons,30-08-2020 10:54:24,Thread-4
printListOfSecretaries,30-08-2020 10:54:24,Thread-6
printLowestSalaryinWorld,30-08-2020 10:54:24,Thread-3
getSumOfSalaries,30-08-2020 10:54:24,Thread-4
printListOfStudents,30-08-2020 10:54:24,Thread-6
printBigestSalaryinWorld,30-08-2020 10:54:24,Thread-3
printFacultyEmployees,30-08-2020 10:54:24,Thread-5
printCountries,30-08-2020 10:54:56,Thread-6
getNumberOfEmployees,30-08-2020 10:54:56,Thread-4
printListOfOtherJobs,30-08-2020 10:54:56,Thread-5
doesThisCountryExist,30-08-2020 10:54:56,Thread-6
getNumberOfPersons,30-08-2020 10:54:56,Thread-4
printMedianSalaryInWworld,30-08-2020 10:54:56,Thread-3
printListOfSecretaries,30-08-2020 10:54:56,Thread-6
getSumOfSalaries,30-08-2020 10:54:56,Thread-4
printLowestSalaryinWorld,30-08-2020 10:54:56,Thread-3
printListOfStudents,30-08-2020 10:54:56,Thread-6
printBigestSalaryinWorld,30-08-2020 10:54:56,Thread-3
printFacultyEmployees,30-08-2020 10:54:56,Thread-5
printListOfOtherJobs,30-08-2020 10:55:13,Thread-5
getNumberOfEmployees,30-08-2020 10:55:13,Thread-4
printMedianSalaryInWworld,30-08-2020 10:55:13,Thread-3
printLowestSalaryinWorld,30-08-2020 10:55:13,Thread-3
printCountries,30-08-2020 10:55:13,Thread-6
getNumberOfPersons,30-08-2020 10:55:13,Thread-4
printBigestSalaryinWorld,30-08-2020 10:55:13,Thread-3
doesThisCountryExist,30-08-2020 10:55:13,Thread-6
getSumOfSalaries,30-08-2020 10:55:13,Thread-4
printListOfSecretaries,30-08-2020 10:55:13,Thread-6
printListOfStudents,30-08-2020 10:55:13,Thread-6
printFacultyEmployees,30-08-2020 10:55:13,Thread-5
printListOfOtherJobs,30-08-2020 10:57:34,Thread-5
printCountries,30-08-2020 10:57:34,Thread-6
printMedianSalaryInWworld,30-08-2020 10:57:34,Thread-3
doesThisCountryExist,30-08-2020 10:57:34,Thread-6
